Region Code;Region Name;Country Code;Country Name;Year;Number;Percentage of cause-specific deaths out of total deaths;Age-standardized death rate per 100 000 standard population;Death rate per 100 000 population
EU;Europe;ESP;Spain;2000;12.572.300.000.000;3.488.516.639;14.589.314.478;31.295.004.787
EU;Europe;ESP;Spain;2001;12.438.900.000.000;3.453.993.130;14.064.376.537;30.626.857.456
EU;Europe;ESP;Spain;2002;12.579.700.000.000;3.412.665.686;13.796.916.555;30.448.986.336
EU;Europe;ESP;Spain;2003;12.978.300.000.000;3.372.493.685;13.761.621.352;30.897.348.682
EU;Europe;ESP;Spain;2004;12.386.700.000.000;3.330.348.933;12.771.080.490;29.014.270.228
EU;Europe;ESP;Spain;2005;12.690.700.000.000;3.276.245.305;12.655.200.201;29.242.463.799
EU;Europe;ESP;Spain;2006;12.076.000.000.000;3.250.798.163;11.703.616.516;27.402.952.566
EU;Europe;ESP;Spain;2007;12.412.600.000.000;3.221.031.708;11.596.659.504;27.661.273.284
EU;Europe;ESP;Spain;2008;12.279.300.000.000;3.178.497.841;11.119.244.399;26.932.196.414
EU;Europe;ESP;Spain;2009;12.005.700.000.000;3.118.906.407;10.503.435.942;26.139.422.402
EU;Europe;ESP;Spain;2010;11.912.800.000.000;3.118.150.385;10.078.593.819;25.856.453.232
EU;Europe;ESP;Spain;2011;11.832.700.000.000;3.050.364.645;9.701.397.123;25.653.464.485
EU;Europe;ESP;Spain;2012;12.209.700.000.000;3.030.078.173;9.529.378.089;26.107.847.217
EU;Europe;ESP;Spain;2013;11.748.400.000.000;3.009.177.320;8.959.209.185;25.214.818.735
EU;Europe;ESP;Spain;2014;11.739.300.000.000;2.965.742.869;8.715.043.034;25.270.192.459
EU;Europe;ESP;Spain;2015;12.419.700.000.000;2.939.100.926;8.944.597.047;26.760.742.645
EU;Europe;ESP;Spain;2016;11.977.800.000.000;2.917.067.492;8.396.219.409;25.684.616.463
EU;Europe;ESP;Spain;2017;12.246.500.000.000;2.884.767.139;8.426.298.743;26.317.955.458
EU;Europe;ESP;Spain;2018;12.085.900.000.000;2.825.650.366;8.198.423.754;25.863.912.323
EU;Europe;ESP;Spain;2019;11.661.500.000.000;2.785.148.423;7.761.572.259;24.756.206.088
EU;Europe;ESP;Spain;2020;11.985.300.000.000;2.427.274.716;7.881.062.593;25.309.105.450
